gene	transcript_biotype	SVTYPE	SVLEN	category	sv	cell_line	sample	location
LINC01111	lncRNA	INVh2h	1835034	Inversion	INVh2h:chr8:76108907-77943941	HAP1	C516R_G1_D21	Within variant
LINC01111	lncRNA	INVt2t	1835017	Inversion	INVt2t:chr8:76108907-77943924	HAP1	C516R_G1_D21	Within variant
ATG4A	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
ATG4A	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
AWAT2	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
AWAT2	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
PSMD10	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
PSMD10	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
POU3F4	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
POU3F4	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
POU3F4	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
POU3F4	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
FAM236C	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
FAM236C	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
P2RY10	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
P2RY10	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
P2RY10	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
P2RY10	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
EFNB1	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
EFNB1	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
PABPC1L2B-AS1	lncRNA	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
PABPC1L2B-AS1	lncRNA	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
CYLC1	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
CYLC1	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
CYLC1	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
CYLC1	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
RIPPLY1	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
RIPPLY1	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
OTUD6A	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
OTUD6A	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
ITM2A	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
ITM2A	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
ITM2A	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
ITM2A	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
NAP1L2	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
NAP1L2	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
TFDP3	protein_coding	INVh2h	6586627	Inversion	INVh2h:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
TFDP3	protein_coding	INVt2t	6586627	Inversion	INVt2t:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
IGBP1	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
IGBP1	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
PWWP3B	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
PWWP3B	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
PWWP3B	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
PWWP3B	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
RAP2C-AS1	lncRNA	INVh2h	6586627	Inversion	INVh2h:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
RAP2C-AS1	lncRNA	INVt2t	6586627	Inversion	INVt2t:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
FAM226B	lncRNA	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
FAM226B	lncRNA	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
IGSF1	protein_coding	INVh2h	6586627	Inversion	INVh2h:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
IGSF1	protein_coding	INVt2t	6586627	Inversion	INVt2t:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
PRDM1	protein_coding	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
PRDM1	protein_coding	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
RNF128	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
RNF128	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
LHFPL1	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
LHFPL1	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
HMGN5	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
HMGN5	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
HMGN5	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
HMGN5	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
MAP7D3	protein_coding	INVh2h	6586627	Inversion	INVh2h:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
MAP7D3	protein_coding	INVt2t	6586627	Inversion	INVt2t:chrX:129856234-136442861	HAP1	C516R_c8	Within variant
RPA4	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
RPA4	protein_coding	INVt2t	31579108	Inversion	INVt2t:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
RPA4	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
RPA4	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TBC1D8B	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
TBC1D8B	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
MORC4	protein_coding	INVh2h	38232184	Inversion	INVh2h:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
MORC4	protein_coding	INVt2t	38232167	Inversion	INVt2t:chrX:75250635-113482819	HEK293T	F3R_c5t8	Within variant
PHKA1	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
PHKA1	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
LAMA4-AS1	lncRNA	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
LAMA4-AS1	lncRNA	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
CD24	protein_coding	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
CD24	protein_coding	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
LINC00222	lncRNA	INVh2h	12399270	Inversion	INVh2h:chr6:102725544-115124814	HAP1	C516R_G1_D101	Within variant
LINC00222	lncRNA	INVt2t	12399253	Inversion	INVt2t:chr6:102725544-115124797	HAP1	C516R_G1_D101	Within variant
ZDHHC15	protein_coding	INVh2h	9972058	Inversion	INVh2h:chrX:68220355-78192413	HAP1	C516R_G1_D21	Within variant
ZDHHC15	protein_coding	INVt2t	9972041	Inversion	INVt2t:chrX:68220355-78192396	HAP1	C516R_G1_D21	Within variant
ZDHHC15	protein_coding	INVh2h	31579108	Inversion	INVh2h:chrX:74996623-106575731	HEK293T	F3R_c4	Within variant
